id,year,symmetry,neg_space,complexity,mass_y,mass_x,text_area,text_y,text_regions,text_x,text_top,text_w,text_h,align_score,thirds_dist,n_blocks,balance,harmony,diagonal_score,pyramid_shift
1091,1982,0.81,0.09,0.15,0.54,0.5,0.1279,0.4571,61.0,0.1821,0.7013,0.8141,0.2647,0.04,0.24,13.0,0.14,0.91,0.48,-0.02
10885,2008,0.8,0.12,0.17,0.53,0.44,0.1633,0.4744,208.0,0.1177,0.8044,0.7617,0.1288,0.04,0.24,12.0,0.13,0.91,0.15,0.0
82990,2012,0.95,0.53,0.07,0.51,0.48,0.1177,0.5822,53.0,0.0345,0.7081,0.9337,0.0852,0.04,0.19,7.0,0.05,0.87,0.1,-0.12
861057,2021,0.85,0.14,0.16,0.53,0.5,0.2534,0.6194,158.0,0.0,0.0,1.0,0.234,0.04,0.24,10.0,0.03,0.94,0.33,-0.02
12700,2005,0.87,0.68,0.05,0.33,0.61,0.0744,0.4162,163.0,0.0445,0.0668,0.9082,0.1499,0.07,0.12,8.0,0.22,0.91,0.24,0.03
29426,2010,0.8,0.09,0.21,0.41,0.49,0.3111,0.4736,500.0,0.0083,0.027,0.9668,0.2259,0.14,0.24,5.0,0.13,0.94,0.55,0.14
19286,1995,0.82,0.24,0.14,0.54,0.51,0.3402,0.5074,380.0,0.0378,0.7889,0.8088,0.2106,0.11,0.24,5.0,0.04,0.91,0.26,0.25
611651,2019,0.82,0.1,0.11,0.62,0.52,0.1809,0.5286,146.0,0.3516,0.7038,0.6406,0.2838,0.04,0.24,13.0,0.15,0.91,0.43,-0.0
532638,2018,0.93,0.23,0.14,0.53,0.51,0.2046,0.5132,240.0,0.315,0.1345,0.3564,0.1776,0.08,0.22,4.0,0.06,0.94,0.25,0.13
9902,2003,0.84,0.36,0.12,0.37,0.54,0.1997,0.436,247.0,0.1831,0.0219,0.8169,0.2847,0.08,0.22,6.0,0.18,0.91,0.35,-0.29
605804,2020,0.86,0.28,0.12,0.49,0.51,0.223,0.4785,273.0,0.0481,0.7864,0.9008,0.1658,0.1,0.23,6.0,0.0,0.91,0.3,0.0
58431,2016,0.92,0.14,0.08,0.6,0.5,0.0922,0.5508,115.0,0.0728,0.7484,0.7939,0.1601,0.09,0.24,5.0,0.13,0.94,0.1,-0.02
9725,1981,0.87,0.71,0.07,0.48,0.53,0.1167,0.5076,215.0,0.2508,0.2152,0.5436,0.3225,0.09,0.23,6.0,0.05,0.89,0.27,-0.04
610253,2021,0.85,0.24,0.16,0.48,0.53,0.1503,0.3961,196.0,0.0366,0.8695,0.9228,0.0663,0.05,0.24,12.0,0.04,0.91,0.48,-0.01
532973,2018,0.94,0.4,0.07,0.66,0.5,0.0614,0.7935,65.0,0.0347,0.8651,0.9257,0.1031,0.08,0.23,6.0,0.2,0.91,0.27,0.12
532710,2022,0.87,0.04,0.21,0.43,0.5,0.1931,0.4488,182.0,0.013,0.0243,0.9711,0.1363,0.05,0.24,10.0,0.18,0.91,0.34,0.0
739990,2021,0.89,0.04,0.24,0.53,0.48,0.2882,0.4992,293.0,0.1148,0.723,0.792,0.1008,0.04,0.24,11.0,0.06,0.91,0.21,-0.07
226948,2013,0.9,0.19,0.14,0.37,0.49,0.1195,0.3834,205.0,0.0522,0.0927,0.8859,0.1065,0.1,0.23,5.0,0.21,0.91,0.19,0.11
42941,2010,0.9,0.11,0.2,0.46,0.5,0.2322,0.5855,387.0,0.0046,0.0628,0.9776,0.1732,0.05,0.24,11.0,0.11,0.94,0.49,0.02
71668,2012,0.87,0.09,0.19,0.51,0.51,0.2247,0.5034,165.0,0.0,0.541,1.0,0.2751,0.03,0.24,16.0,0.04,0.91,0.43,0.14
764,1981,0.8,0.31,0.14,0.49,0.47,0.1738,0.4955,276.0,0.2066,0.0547,0.6005,0.3206,0.05,0.23,9.0,0.01,0.91,0.4,0.2
732713,2020,0.91,0.28,0.05,0.58,0.52,0.0562,0.6556,59.0,0.1587,0.7465,0.6816,0.1243,0.2,0.24,3.0,0.17,0.96,0.3,-0.09
320048,2015,0.91,0.54,0.06,0.32,0.48,0.1097,0.3958,181.0,0.0258,0.0185,0.9357,0.1524,0.06,0.16,8.0,0.2,0.91,0.42,-0.08
730167,2022,0.77,0.1,0.19,0.49,0.51,0.2243,0.5475,236.0,0.2017,0.0681,0.6113,0.2905,0.05,0.23,12.0,0.04,0.87,0.47,0.15
28355,2009,0.72,0.43,0.09,0.54,0.38,0.1294,0.4249,177.0,0.0,0.6006,0.9964,0.1965,0.04,0.22,12.0,0.14,0.94,0.06,0.24
47044,1993,0.84,0.11,0.17,0.57,0.5,0.253,0.5251,304.0,0.0656,0.6338,0.8754,0.2422,0.03,0.24,15.0,0.11,0.94,0.18,-0.08
473149,2018,0.5,0.43,0.11,0.46,0.57,0.1324,0.4361,239.0,-1.0,-1.0,-1.0,-1.0,0.02,0.17,15.0,0.1,0.94,0.16,-0.24
1923,1992,0.77,0.18,0.15,0.6,0.47,0.2866,0.4952,373.0,0.4868,0.6931,0.5132,0.1002,0.02,0.24,4.0,0.08,0.94,0.43,0.02
525460,2018,0.89,0.29,0.1,0.56,0.5,0.0963,0.5078,97.0,0.0591,0.6091,0.8736,0.1392,0.04,0.2,11.0,0.03,0.87,0.21,0.07
22970,2012,0.86,0.14,0.15,0.52,0.5,0.1926,0.4951,299.0,0.231,0.7523,0.541,0.1744,0.1,0.24,5.0,0.06,0.87,0.23,-0.13
668343,2020,0.82,0.03,0.22,0.49,0.48,0.4177,0.5214,471.0,0.0179,0.0166,0.9633,0.2266,0.04,0.24,8.0,0.06,0.91,0.28,0.03
945657,2022,0.83,0.19,0.15,0.51,0.49,0.2181,0.5185,212.0,0.0608,0.7096,0.8784,0.1248,0.08,0.24,8.0,0.05,0.91,0.45,0.02
790,1980,0.76,0.22,0.14,0.4,0.46,0.2339,0.417,172.0,0.0,0.8241,0.6781,0.1548,0.04,0.22,11.0,0.14,0.87,0.44,0.03
480414,2019,0.93,0.16,0.12,0.52,0.51,0.0937,0.4619,126.0,0.2134,0.8422,0.5683,0.093,0.03,0.24,15.0,0.03,0.91,0.35,-0.12
431259,2017,0.81,0.09,0.19,0.43,0.49,0.3197,0.5054,409.0,0.0171,0.031,0.9829,0.2571,0.03,0.24,14.0,0.14,0.91,0.34,0.01
837,1983,0.78,0.34,0.1,0.33,0.51,0.2056,0.5108,314.0,0.1167,0.0564,0.7627,0.1803,0.04,0.24,12.0,0.17,0.87,0.26,0.12
807356,2022,0.86,0.17,0.06,0.5,0.56,0.078,0.3699,119.0,0.0,0.486,0.9956,0.1191,0.16,0.24,4.0,0.05,0.94,0.07,-0.1
793967,2021,0.91,0.47,0.06,0.58,0.46,0.0728,0.4299,226.0,0.0913,0.7528,0.8095,0.1123,0.06,0.19,6.0,0.16,0.94,0.13,0.23
10166,1990,0.8,0.2,0.19,0.52,0.47,0.3632,0.5177,373.0,0.1854,0.542,0.6285,0.169,0.09,0.24,4.0,0.04,0.94,0.28,-0.0
316727,2016,0.89,0.33,0.11,0.39,0.51,0.2435,0.5473,493.0,0.1665,0.0518,0.6621,0.1816,0.08,0.22,7.0,0.18,0.91,0.2,-0.08
10586,1996,0.78,0.46,0.13,0.54,0.41,0.2544,0.4633,396.0,0.0,0.725,1.0,0.1594,0.09,0.22,5.0,0.12,0.91,0.42,0.03
2667,1999,0.85,0.45,0.14,0.46,0.51,0.1543,0.4452,327.0,0.0676,0.3316,0.8645,0.1218,0.06,0.18,10.0,0.05,0.94,0.34,0.1
30497,1974,0.68,0.62,0.09,0.61,0.53,0.188,0.5308,284.0,0.0073,0.6325,0.9609,0.231,0.07,0.22,4.0,0.1,0.94,0.35,0.21
70112,2010,0.85,0.24,0.16,0.56,0.48,0.2581,0.5288,345.0,0.033,0.0,0.9227,0.2826,0.06,0.23,8.0,0.07,0.94,0.31,0.17
100241,2014,0.8,0.23,0.11,0.57,0.48,0.1439,0.494,152.0,0.0,0.7316,1.0,0.19,0.09,0.22,7.0,0.13,0.91,0.41,0.12
361292,2018,0.83,0.29,0.18,0.49,0.53,0.2633,0.499,385.0,0.2093,0.2934,0.7488,0.2255,0.08,0.22,7.0,0.04,0.94,0.08,0.04
43947,2010,0.7,0.17,0.17,0.49,0.49,0.2219,0.4685,277.0,0.0,0.266,0.6195,0.2944,0.07,0.24,7.0,0.05,0.91,0.31,0.07
629015,2022,0.91,0.24,0.1,0.52,0.51,0.1856,0.5171,139.0,0.0728,0.8591,0.8613,0.1041,0.09,0.22,6.0,0.11,0.94,0.1,0.04
10768,1981,0.68,0.56,0.1,0.52,0.53,0.1572,0.4272,164.0,0.0153,0.0601,0.9243,0.222,0.06,0.21,10.0,0.05,0.94,0.3,-0.17
519337,2018,0.87,0.16,0.2,0.46,0.5,0.2883,0.4914,344.0,0.0008,0.4486,0.9992,0.1606,0.13,0.24,4.0,0.04,0.91,0.34,-0.05
94365,2015,0.84,0.09,0.08,0.48,0.54,0.2309,0.4291,136.0,0.1933,0.6781,0.5819,0.138,0.14,0.24,3.0,0.04,0.91,0.42,-0.07
19287,1996,0.83,0.41,0.15,0.54,0.54,0.3272,0.4805,513.0,0.0933,0.8067,0.6763,0.1734,0.1,0.24,7.0,0.04,0.94,0.35,-0.14
579,1978,0.89,0.42,0.14,0.55,0.5,0.1354,0.5576,119.0,0.0,0.0193,1.0,0.2327,0.06,0.17,6.0,0.02,0.87,0.37,0.01
1551,1990,0.91,0.51,0.1,0.5,0.5,0.1791,0.401,196.0,0.0811,0.7998,0.8232,0.0967,0.12,0.17,5.0,0.06,0.87,0.19,-0.04
787009,2021,0.93,0.23,0.13,0.51,0.47,0.1594,0.5398,221.0,0.19,0.0811,0.5976,0.1731,0.08,0.22,7.0,0.06,0.94,0.33,0.06
36647,1998,0.91,0.54,0.08,0.48,0.52,0.1922,0.3908,170.0,0.1058,0.7603,0.7607,0.1586,0.14,0.17,4.0,0.09,0.94,0.3,-0.01
896448,2022,0.76,0.1,0.22,0.49,0.49,0.4032,0.5219,265.0,0.0,0.0,1.0,0.3207,0.04,0.24,11.0,0.08,0.91,0.28,0.04
226140,2014,0.76,0.14,0.14,0.51,0.52,0.2924,0.5037,319.0,0.0111,0.3481,0.9237,0.3001,0.2,0.24,4.0,0.05,0.91,0.35,0.18
