id,label,score,title,year,is_animal,is_creature
1091,uncertain,0.311,The Thing,1982,False,False
10885,ghost,0.55,Shutter,2008,False,True
82990,ghost,0.917,Paranormal Activity 4,2012,False,True
861057,shark,0.956,Swim,2021,True,True
12700,uncertain,0.25,Dominion: Prequel to The Exorcist,2005,False,False
29426,zombie,0.987,Survival of the Dead,2010,False,True
19286,werewolf,0.525,Leprechaun 3,1995,False,True
611651,uncertain,0.288,Sator,2019,False,False
532638,uncertain,0.34,Open 24 Hours,2018,False,False
9902,uncertain,0.453,Wrong Turn,2003,False,False
605804,skeleton,0.537,The Wretched,2020,False,True
58431,none,0.598,Pride and Prejudice and Zombies,2016,False,False
9725,uncertain,0.41,Friday the 13th Part 2,1981,False,False
610253,uncertain,0.299,Halloween Kills,2021,False,False
532973,uncertain,0.395,Hell House LLC II: The Abaddon Hotel,2018,False,False
532710,demon,0.509,Firestarter,2022,False,True
739990,uncertain,0.412,Nightbooks,2021,False,False
226948,uncertain,0.329,Scarecrow,2013,False,False
42941,uncertain,0.436,30 Days of Night: Dark Days,2010,False,False
71668,none,0.655,Piranha 3DD,2012,False,False
764,zombie,0.794,The Evil Dead,1981,False,True
732713,uncertain,0.441,Evil Eye,2020,False,False
320048,uncertain,0.301,Ratter,2015,False,False
730167,shark,0.948,The Reef: Stalked,2022,True,True
28355,uncertain,0.21,Case 39,2009,False,False
47044,uncertain,0.316,The Secret Life: Jeffrey Dahmer,1993,False,False
473149,none,0.648,Traffik,2018,False,False
1923,uncertain,0.334,Twin Peaks: Fire Walk with Me,1992,False,False
525460,uncertain,0.423,Welcome Home,2018,False,False
22970,none,0.642,The Cabin in the Woods,2012,False,False
668343,giant_monster,0.684,Alien Outbreak,2020,False,True
945657,uncertain,0.218,Titanic 666,2022,False,False
790,masked_killer,0.577,The Fog,1980,False,True
480414,ghost,0.657,The Curse of La Llorona,2019,False,True
431259,uncertain,0.282,Escape Room,2017,False,False
837,ghost,0.519,Videodrome,1983,False,True
807356,witch,0.696,Watcher,2022,False,True
793967,demon,0.541,Phobias,2021,False,True
10166,witch,0.978,The Witches,1990,False,True
316727,uncertain,0.352,The Purge: Election Year,2016,False,False
10586,ghost,0.891,The Ghost and the Darkness,1996,False,True
2667,witch,0.829,The Blair Witch Project,1999,False,True
30497,masked_killer,0.901,The Texas Chain Saw Massacre,1974,False,True
70112,uncertain,0.339,Dahmer vs. Gacy,2010,False,False
100241,uncertain,0.353,"I, Frankenstein",2014,False,False
361292,uncertain,0.204,Suspiria,2018,False,False
43947,uncertain,0.353,I Spit on Your Grave,2010,False,False
629015,uncertain,0.408,Shut In,2022,False,False
10768,demon,0.611,Omen III: The Final Conflict,1981,False,True
519337,uncertain,0.49,Tempus Tormentum,2018,False,False
94365,uncertain,0.281,The Human Centipede 3 (Final Sequence),2015,False,False
19287,uncertain,0.346,Leprechaun 4: In Space,1996,False,False
579,shark,0.794,Jaws 2,1978,True,True
1551,ghost,0.821,Flatliners,1990,False,True
787009,uncertain,0.461,Stay Out of the Attic,2021,False,False
36647,masked_killer,0.931,Blade,1998,False,True
896448,shark,0.843,Beneath the Surface,2022,True,True
226140,uncertain,0.473,See No Evil 2,2014,False,False
623034,skeleton,0.728,The Haunted,2018,False,True
9374,uncertain,0.367,Death Becomes Her,1992,False,False
176,uncertain,0.292,Saw,2004,False,False
11449,uncertain,0.273,The Amityville Horror,1979,False,False
11246,uncertain,0.213,Hellraiser: Hellseeker,2002,False,False
362826,uncertain,0.381,Wildling,2018,False,False
458305,uncertain,0.477,Vivarium,2019,False,False
11361,masked_killer,0.622,Halloween 5: The Revenge of Michael Myers,1989,False,True
25239,uncertain,0.269,I Spit on Your Grave,1978,False,False
9711,ghost,0.647,Species III,2004,False,True
333371,none,0.742,10 Cloverfield Lane,2016,False,False
433808,uncertain,0.347,The Ritual,2017,False,False
338967,none,0.566,Zombieland: Double Tap,2019,False,False
13848,uncertain,0.158,Stuck,2007,False,False
816952,uncertain,0.288,My Best Friend's Exorcism,2022,False,False
547565,uncertain,0.374,The Night House,2021,False,False
25769,zombie,0.743,Carriers,2009,False,True
502416,uncertain,0.229,Ma,2019,False,False
8769,uncertain,0.254,Christine,1983,False,False
7340,uncertain,0.316,Carrie,1976,False,False
530385,none,0.85,Midsommar,2019,False,False
526051,ghost,0.676,Look Away,2018,False,True
758724,witch,0.537,The Cellar,2022,False,True
288158,ghost,0.592,The Woman in Black 2: Angel of Death,2014,False,True
839436,giant_monster,0.857,Dragon Fury,2021,False,True
150202,ghost,0.799,The Haunting in Connecticut 2: Ghosts of Georgia,2013,False,True
747,uncertain,0.203,Shaun of the Dead,2004,False,False
4488,uncertain,0.364,Friday the 13th,1980,False,False
8398,uncertain,0.228,The Hitcher,2007,False,False
9542,uncertain,0.478,The Hitcher,1986,False,False
26466,uncertain,0.231,Triangle,2009,False,False
9913,skeleton,0.909,The Skeleton Key,2005,False,True
9678,none,0.69,Little Nicky,2000,False,False
214,uncertain,0.351,Saw III,2006,False,False
10242,uncertain,0.341,What Ever Happened to Baby Jane?,1962,False,False
10665,uncertain,0.239,The Strangers,2008,False,False
801071,uncertain,0.418,The Jack in the Box: Awakening,2022,False,False
329010,uncertain,0.346,Emelie,2016,False,False
391262,uncertain,0.327,Curve,2016,False,False
10973,uncertain,0.352,Creature from the Black Lagoon,1954,False,False
41439,skeleton,0.881,Saw 3D,2010,False,True
14001,doll,0.634,Dead Silence,2007,False,True
430231,none,0.604,The Endless,2017,False,False
48171,demon,0.772,The Rite,2011,False,True
146301,ghost,0.952,Paranormal Activity: The Ghost Dimension,2015,False,True
11237,snake,0.951,Anacondas: The Hunt for the Blood Orchid,2004,True,True
23963,uncertain,0.194,Pontypool,2009,False,False
157547,ghost,0.66,Oculus,2013,False,True
2082,uncertain,0.467,Halloween,2007,False,False
9426,ghost,0.662,The Fly,1986,False,True
14863,none,0.535,Anaconda 3: Offspring,2008,False,False
839440,giant_monster,0.753,Dinosaur Hotel,2021,False,True
9276,uncertain,0.27,The Faculty,1998,False,False
333674,none,0.618,Intruders,2016,False,False
760104,uncertain,0.292,X,2022,False,False
21407,masked_killer,0.979,The Collector,2009,False,True
11186,uncertain,0.477,Child's Play 2,1990,False,False
452507,uncertain,0.303,1922,2017,False,False
496704,shark,0.811,Tremors: A Cold Day in Hell,2018,True,True
669671,uncertain,0.261,Night Teeth,2021,False,False
16871,demon,0.744,Drag Me to Hell,2009,False,True
353345,uncertain,0.384,The Exorcism of Molly Hartley,2015,False,False
44040,ghost,0.87,Devil,2010,False,True
8408,skeleton,0.757,Day of the Dead,1985,False,True
292280,uncertain,0.329,The Bye Bye Man,2017,False,False
277685,ghost,0.742,Unfriended,2014,False,True
119698,giant_monster,0.523,The Dinosaur Project,2012,False,True
424121,uncertain,0.222,Apostle,2018,False,False
2654,uncertain,0.416,In the Mouth of Madness,1995,False,False
3021,none,0.512,1408,2007,False,False
503736,uncertain,0.37,Army of the Dead,2021,False,False
17692,shark,0.959,Jaws 3-D,1983,True,True
24150,masked_killer,0.742,Halloween II,2009,False,True
25983,uncertain,0.353,The House of the Devil,2009,False,False
1933,uncertain,0.472,The Others,2001,False,False
723072,uncertain,0.487,Host,2020,False,False
9406,werewolf,0.858,An American Werewolf in Paris,1997,False,True
11415,uncertain,0.302,House,1986,False,False
10320,ghost,0.616,The Ring Two,2005,False,True
524251,uncertain,0.375,I See You,2019,False,False
717728,uncertain,0.34,Jeepers Creepers: Reborn,2022,False,False
65055,shark,0.969,Shark Night 3D,2011,True,True
18392,ghost,0.526,Embrace of the Vampire,1995,False,True
9552,uncertain,0.478,The Exorcist,1973,False,False
10906,uncertain,0.314,Pet Sematary II,1992,False,False
755566,none,0.546,Day Shift,2022,False,False
431075,uncertain,0.301,Polaroid,2019,False,False
63700,vampire,0.852,My Babysitter's a Vampire,2010,False,True
794,uncertain,0.286,The Omen,1976,False,False
40012,uncertain,0.219,Raising Jeffrey Dahmer,2006,False,False
28739,uncertain,0.224,Cabin Fever 2: Spring Fever,2009,False,False
306947,uncertain,0.299,The Invitation,2015,False,False
11442,ghost,0.705,Halloween: Resurrection,2002,False,True
523931,shark,0.81,Megalodon,2018,True,True
542224,uncertain,0.413,Gretel & Hansel,2020,False,False
11249,uncertain,0.259,Seed of Chucky,2004,False,False
444149,uncertain,0.249,Hellraiser: Judgment,2018,False,False
34004,zombie,0.97,Children of the Living Dead,2001,False,True
927341,uncertain,0.387,Hunting Ava Bravo,2022,False,False
882598,uncertain,0.445,Smile,2022,False,False
520023,uncertain,0.463,Bodies Bodies Bodies,2022,False,False
215,clown,0.639,Saw II,2005,False,True
95993,demon,0.822,Demon Slayer,2003,False,True
1017335,uncertain,0.371,Project Legion,2022,False,False
913290,uncertain,0.448,Barbarian,2022,False,False
505058,uncertain,0.24,Unfriended: Dark Web,2018,False,False
83899,uncertain,0.269,You're Next,2011,False,False
664168,none,0.592,Fat Ass Zombies,2020,False,False
259072,uncertain,0.219,Wrong Turn 6: Last Resort,2014,False,False
564082,uncertain,0.256,30 Miles from Nowhere,2018,False,False
298312,ghost,0.641,The Visit,2015,False,True
