id,title,year,genre_names
194290,The Medium,1951,"Drama, Horror, Music"
249418,Yambaó,1957,"Horror, Music, Romance"
364310,Sumpah Pontianak,1958,"Horror, Music"
1016818,The Oily Man,1958,"Horror, Music, Mystery, Romance"
146296,The Phantom of the Operetta,1960,"Comedy, Fantasy, Horror, Music, Mystery"
166631,The Ship of Monsters,1960,"Comedy, Horror, Music, Science Fiction"
42794,The Horror of Party Beach,1964,"Horror, Music, Science Fiction"
407647,The Mocking Ghosts,1965,"Comedy, Fantasy, Horror, Music"
99008,Hillbillys in a Haunted House,1967,"Comedy, Horror, Music"
290057,Drakulita,1969,"Comedy, Horror, Music"
984359,Nico: Evening of Light,1969,"Fantasy, Horror, Music"
187337,Come Haunt with Me,1971,"Comedy, History, Horror, Music"
125751,Point of Terror,1971,"Drama, Horror, Music, Mystery, Thriller"
27327,Phantom of the Paradise,1974,"Comedy, Fantasy, Horror, Music, Thriller"
13013,Son of Dracula,1974,"Comedy, Horror, Music"
192125,The Legend of Hillbilly John,1974,"Adventure, Fantasy, Horror, Music"
299012,Alice Cooper: The Nightmare,1975,"Horror, Music, TV Movie"
503744,Rock-a-Die Baby,1975,"Drama, Horror, Music, Mystery, TV Movie"
280272,Nagin,1976,"Fantasy, Horror, Music, Thriller"
160405,Nocturna,1979,"Comedy, Horror, Music"
85182,Terror on Tour,1980,"Comedy, Crime, Horror, Music"
327815,Fangs,1981,"Fantasy, Horror, Music"
315221,"Good Evening, Mr. Monster",1982,"Comedy, Fantasy, Horror, Music"
62574,"No Thanks, Coffee Makes Me Nervous",1982,"Comedy, Horror, Music, Thriller"
24745,Sweeney Todd: The Demon Barber of Fleet Street,1982,"Drama, Horror, Music, Thriller"
296457,Dracula of Exarcheia,1983,"Comedy, Horror, Music"
92060,Michael Jackson's Thriller,1983,"Horror, Music"
332755,Possibly in Michigan,1983,"Fantasy, Horror, Music"
84994,Rocktober Blood,1984,"Horror, Music"
405029,3D Saamri,1985,"Fantasy, Horror, Music, Mystery, Romance"
172620,Billy the Kid and the Green Baize Vampire,1985,"Comedy, Horror, Music, Western"
28128,Hard Rock Zombies,1985,"Comedy, Horror, Music"
24103,Haunted Honeymoon,1986,"Comedy, Drama, Horror, Music, Mystery"
825751,Little Shop of Horrors,1987,"Comedy, Horror, Music, TV Movie"
