id,title,year,original_language
406490,Die Ontwaking,2016,af
936214,Siryet,2007,am
260491,Ismail Yassine in the House of Ghosts,1951,ar
344459,Have Mercy,1953,ar
329951,The Adventures of Filfila,1966,ar
507547,The Well of Deprivation,1969,ar
513965,The Humans and The Jinns,1985,ar
226252,The Talisman,1987,ar
418819,The Cursed House,1987,ar
443333,The Devil's Friends,1988,ar
667655,Nightmare,1989,ar
1023394,Love and Horror,1991,ar
740627,Love and Revenge... With a Meat Cleaver,1992,ar
514094,Dancing with The Devil,1993,ar
575587,Le silence de la nuit,1996,ar
575439,هواجس بعد منتصف الليل,1999,ar
136849,Real Dreams,2007,ar
71305,Adrenaline,2009,ar
946549,Lockdown: Red Moon Escape,2012,ar
377843,Dead Sands,2013,ar
326071,Warda,2014,ar
391670,الدساس,2014,ar
756106,Folaim - Barrel,2014,ar
632096,Azazel Son of the Devil,2015,ar
724843,Grandmother's Farm Part 2,2015,ar
547630,Restricted Area: Baron Palace,2016,ar
1008466,Aréata,2016,ar
466088,The Traveler's Longing to Pray,2017,ar
754347,Roshdy Building,2017,ar
756114,Folaim - My Friend Satan,2017,ar
724152,Cloven,2018,ar
512959,122,2019,ar
540009,Dachra,2019,ar
629035,Makr,2019,ar
642707,True Story,2019,ar
659677,House of Setnakht,2019,ar
702746,Madayen,2019,ar
734330,The Shadow,2019,ar
632171,Ghost of the Nile,2020,ar
715417,Jabbara,2020,ar
729565,The Tiller,2020,ar
756075,Bloodline,2020,ar
772297,Khan Tiola,2020,ar
774149,Ammar,2020,ar
960208,Rima,2020,ar
799757,The Ghost Resort,2021,ar
853344,Before Forty,2021,ar
869089,Adiala,2021,ar
924985,Angst,2022,ar
937763,Tmout Alih,2022,ar
974169,Day 13,2022,ar
999747,Walls,2022,ar
393495,The River of Fables,2015,as
829613,Daityo (The Demon),2020,as
614959,Aporia,2019,az
215251,"Adio, Rio",1989,bg
291163,Roseville,2014,bg
894774,January,2021,bg
926429,CHERNOBOG,2021,bg
952277,Kankal,1950,bn
320120,Kuheli,1971,bn
612566,Nishi Trishna,1989,bn
936399,Shilpantar - Colours of Hunger,2003,bn
37471,Shadows of Time,2005,bn
609956,Rajmohol,2005,bn
1000322,Mantra,2005,bn
636183,Banglar King Kong,2010,bn
320654,Chayamoy,2013,bn
301113,Golpo Holeo Shotti,2014,bn
349138,Ludo,2015,bn
486672,Monihara,2015,bn
