n_faces,face_area,max_conf,id,year
1,0.0205,0.89,927341,2022
3,0.0202,0.917,760741,2022
0,0.0,0.0,760161,2022
0,0.0,0.0,760104,2022
0,0.0,0.0,772450,2022
0,0.0,0.0,762504,2022
0,0.0,0.0,801071,2022
0,0.0,0.0,836225,2022
0,0.0,0.0,882598,2022
3,0.0777,0.898,852830,2022
1,0.2093,0.875,756999,2022
0,0.0,0.0,717728,2022
0,0.0,0.0,1014226,2022
2,0.0361,0.769,756681,2022
0,0.0,0.0,661791,2022
2,0.1906,0.924,816952,2022
1,0.6449,0.903,25853,2002
4,0.0484,0.936,755566,2022
1,0.0618,0.909,758724,2022
0,0.0,0.0,629015,2022
0,0.0,0.0,896448,2022
4,0.0663,0.94,831410,2022
2,0.056,0.942,945657,2022
0,0.0,0.0,610253,2021
0,0.0,0.0,864370,2022
1,0.4403,0.711,825808,2022
1,0.0794,0.862,871832,2021
0,0.0,0.0,632727,2022
0,0.0,0.0,803114,2022
13,0.0162,0.868,613093,2020
12,0.093,0.914,646385,2022
2,0.03,0.915,616820,2022
7,0.1582,0.922,816977,2022
4,0.0033,0.821,49690,2009
5,0.0278,0.917,833425,2022
1,0.0503,0.859,55341,2017
1,0.1758,0.943,21208,2009
2,0.5719,0.922,423108,2021
0,0.0,0.0,474350,2019
0,0.0,0.0,852485,2022
6,0.0644,0.902,895744,2022
2,0.0018,0.812,708471,2021
0,0.0,0.0,869399,2022
5,0.1083,0.906,639721,2021
0,0.0,0.0,632357,2021
1,0.0012,0.786,960258,2022
6,0.0724,0.923,697799,2022
3,0.0298,0.905,460458,2021
3,0.0893,0.915,814800,2022
4,0.0444,0.918,893370,2022
0,0.0,0.0,11351,2003
2,0.466,0.693,8922,2001
1,0.0115,0.853,602223,2021
0,0.0,0.0,830788,2022
0,0.0,0.0,820511,2021
0,0.0,0.0,138843,2013
1,0.1171,0.901,482373,2021
1,0.0182,0.891,897424,2022
5,0.0534,0.918,531219,2020
3,0.0613,0.931,982543,2022
2,0.035,0.903,829358,2021
0,0.0,0.0,870671,2022
1,0.2449,0.772,159211,2013
2,0.0121,0.904,633802,2021
0,0.0,0.0,631843,2021
0,0.0,0.0,938596,2022
0,0.0,0.0,926899,2022
0,0.0,0.0,609972,2021
0,0.0,0.0,520763,2021
0,0.0,0.0,424139,2018
0,0.0,0.0,522444,2020
2,0.0081,0.86,75624,2011
2,0.0298,0.931,926762,2022
2,0.492,0.904,11932,1998
1,0.1373,0.921,439079,2018
0,0.0,0.0,775943,2021
2,0.0206,0.921,561,2005
0,0.0,0.0,259693,2016
0,0.0,0.0,72190,2013
4,0.1031,0.91,184345,2014
1,0.3781,0.863,854535,2021
1,0.018,0.917,393345,2017
0,0.0,0.0,811072,2021
1,0.0014,0.601,23823,2009
0,0.0,0.0,666479,2012
1,0.0918,0.894,943221,2022
0,0.0,0.0,71672,2011
1,0.0793,0.926,13186,2007
0,0.0,0.0,672582,2021
0,0.0,0.0,345940,2018
0,0.0,0.0,630586,2021
1,0.1459,0.912,125509,2012
1,0.0008,0.649,360784,2015
0,0.0,0.0,516329,2021
0,0.0,0.0,523936,2021
6,0.0275,0.849,481084,2019
2,0.0444,0.884,591273,2021
0,0.0,0.0,774021,2021
1,0.0215,0.846,22894,2010
6,0.1027,0.918,139038,2013
0,0.0,0.0,346364,2017
0,0.0,0.0,948,1978
1,0.1602,0.848,10585,1988
3,0.0225,0.919,504175,2005
0,0.0,0.0,998340,2016
1,0.0075,0.843,442249,2018
0,0.0,0.0,663712,2022
2,0.4945,0.929,723072,2020
4,0.0058,0.747,503736,2021
0,0.0,0.0,280002,2014
0,0.0,0.0,760195,2021
1,0.0245,0.841,591274,2021
0,0.0,0.0,843906,2021
0,0.0,0.0,9552,1973
2,0.4043,0.86,11249,2004
1,0.3139,0.931,768447,2022
1,0.0053,0.852,72331,2012
0,0.0,0.0,913290,2022
0,0.0,0.0,871964,2021
1,0.0157,0.863,40012,2006
1,0.0337,0.897,11186,1990
0,0.0,0.0,879497,2022
0,0.0,0.0,617708,2019
0,0.0,0.0,676845,2021
0,0.0,0.0,839436,2021
3,0.0115,0.894,25769,2009
0,0.0,0.0,176,2004
1,0.0083,0.916,396535,2016
0,0.0,0.0,2082,2007
1,0.1194,0.658,630240,2021
0,0.0,0.0,70112,2010
1,0.0099,0.765,316727,2016
4,0.1187,0.925,895001,2021
0,0.0,0.0,480414,2019
1,0.0297,0.876,47044,1993
0,0.0,0.0,861057,2021
0,0.0,0.0,619778,2021
2,0.127,0.859,9902,2003
3,0.062,0.936,739990,2021
1,0.5164,0.909,11187,1991
7,0.0458,0.895,521029,2019
0,0.0,0.0,338947,2022
1,0.2464,0.932,514847,2020
1,0.0131,0.833,776797,2021
1,0.0831,0.923,675024,2021
5,0.1713,0.901,9532,2000
1,0.5362,0.842,301804,2016
0,0.0,0.0,493922,2018
1,0.1446,0.89,533642,2019
1,0.5202,0.804,381288,2016
4,0.1203,0.926,576845,2021
2,0.0641,0.922,167032,2013
0,0.0,0.0,9373,2003
1,0.421,0.904,158015,2013
2,0.3245,0.886,754934,2021
1,0.186,0.668,676547,2022
0,0.0,0.0,396422,2017
1,0.0136,0.744,57084,1975
0,0.0,0.0,786300,2021
1,0.0305,0.891,636879,2020
1,0.0032,0.67,6537,2007
1,0.0299,0.904,607383,2019
0,0.0,0.0,565,2002
1,0.3393,0.898,751237,2022
2,0.0301,0.923,60304,2013
0,0.0,0.0,55779,2011
1,0.0161,0.905,23202,2007
0,0.0,0.0,126889,2017
1,0.0746,0.907,49018,2010
0,0.0,0.0,440,2007
0,0.0,0.0,23827,2007
5,0.0581,0.923,257445,2015
1,0.0262,0.848,7342,2002
1,0.1645,0.875,227348,2014
1,0.1967,0.865,740925,2021
0,0.0,0.0,11152,2008
5,0.0707,0.893,590995,2020
0,0.0,0.0,6466,2003
0,0.0,0.0,310131,2015
1,0.0051,0.79,745881,2021
0,0.0,0.0,10781,2006
2,0.1759,0.917,664356,2020
0,0.0,0.0,8329,2007
1,0.0196,0.911,419430,2017
2,0.0763,0.92,91586,2013
10,0.0658,0.932,681019,2020
1,0.2995,0.879,250546,2014
1,0.2971,0.745,11357,1988
6,0.5304,0.935,4232,1996
1,0.0299,0.925,52520,2012
1,0.7554,0.713,715658,2020
0,0.0,0.0,37169,2009
0,0.0,0.0,602734,2021
1,0.436,0.929,670429,2021
5,0.0617,0.903,273477,2015
1,0.0325,0.891,591275,2021
0,0.0,0.0,9286,2006
1,0.1524,0.929,874924,2013
0,0.0,0.0,82507,2012
0,0.0,0.0,295830,2015
0,0.0,0.0,720026,2020
4,0.0385,0.927,19908,2009
2,0.0068,0.787,442062,2018
1,0.0882,0.774,9358,2003
4,0.0292,0.939,926980,2022
0,0.0,0.0,447332,2018
1,0.0981,0.932,460019,2018
0,0.0,0.0,13207,2009
0,0.0,0.0,647302,2019
0,0.0,0.0,10066,2005
0,0.0,0.0,694,1980
0,0.0,0.0,565028,2021
3,0.0064,0.873,581392,2020
1,0.1688,0.87,397243,2016
1,0.0179,0.883,346672,2016
1,0.0481,0.875,9003,1987
0,0.0,0.0,9792,2006
0,0.0,0.0,509635,2020
1,0.1666,0.838,793002,2021
0,0.0,0.0,11284,1991
2,0.0027,0.811,238636,2014
2,0.0217,0.888,116322,2011
0,0.0,0.0,348,1979
2,0.0056,0.866,585216,2021
1,0.0075,0.915,19994,2009
3,0.3231,0.915,777620,2021
1,0.2455,0.882,420634,2016
1,0.482,0.864,215,2005
0,0.0,0.0,259072,2014
0,0.0,0.0,523931,2018
0,0.0,0.0,524251,2019
