id,title,year,p_painted,clip_proposed,band,final_label
985,"Eraserhead",1977,0.1398,photo,photo_hi,photo
1702,"Death Machine",1994,0.5461,painted,mid,painted
2151,"Man with the Screaming Brain",2005,0.8913,painted,painted_hi,painted
3127,"The Revenge of Frankenstein",1958,0.4106,photo,mid,painted
3164,"Frankenstein 1970",1958,0.185,photo,photo_hi,painted
3208,"I Was a Teenage Frankenstein",1957,0.814,painted,painted_hi,painted
6114,"Bram Stoker's Dracula",1992,0.0901,photo,photo_hi,painted
6552,"Idle Hands",1999,0.5424,painted,mid,photo
7340,"Carrie",1976,0.1784,photo,photo_hi,photo
7392,"Ilsa, Harem Keeper of the Oil Sheiks",1976,0.4292,photo,mid,painted
9100,"The Craft",1996,0.17,photo,photo_hi,photo
9374,"Death Becomes Her",1992,0.4001,photo,mid,photo
9552,"The Exorcist",1973,0.064,photo,photo_hi,photo
9680,"Uncle Sam",1996,0.4786,photo,mid,painted
10206,"Buffy the Vampire Slayer",1992,0.4035,photo,mid,photo
10285,"Jason Goes to Hell: The Final Friday",1993,0.4243,photo,mid,painted
10576,"Psycho II",1983,0.0726,photo,photo_hi,painted
10973,"Creature from the Black Lagoon",1954,0.4162,photo,mid,painted
11167,"Peeping Tom",1960,0.3917,photo,mid,painted
11495,"Firestarter",1984,0.2207,photo,photo_hi,photo
11868,"Dracula",1958,0.138,photo,photo_hi,painted
12724,"The Convent",2000,0.4647,photo,mid,composite
15516,"The Last House on the Left",1972,0.3631,photo,mid,painted
16139,"Phantasm III: Lord of the Dead",1994,0.1557,photo,photo_hi,painted
18983,"Godzilla, King of the Monsters!",1956,0.7937,painted,painted_hi,painted
20850,"Ilsa: She Wolf of the SS",1975,0.9066,painted,painted_hi,painted
22616,"Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Alien, Flesh Eating, Hellbound, Zombified Living Dead Part 2",1991,0.3617,photo,mid,photo
22642,"A Bucket of Blood",1959,0.4944,photo,mid,composite
22718,"Attack of the Giant Leeches",1959,0.2454,photo,photo_hi,painted
24452,"The Little Shop of Horrors",1960,0.5057,painted,mid,painted
24924,"Night of the Demons",1988,0.4576,photo,mid,painted
25750,"Children of the Corn IV: The Gathering",1996,0.4104,photo,mid,photo
26661,"Abbott and Costello Meet the Mummy",1955,0.8277,painted,painted_hi,painted
26857,"The Tingler",1959,0.2093,photo,photo_hi,photo
26865,"X the Unknown",1956,0.4665,photo,mid,painted
27285,"Rise of the Dead",2007,0.3877,photo,mid,photo
27623,"Not of This Earth",1957,0.4831,photo,mid,painted
27625,"It Conquered the World",1956,0.8487,painted,painted_hi,painted
27642,"Queen of Blood",1966,0.4413,photo,mid,painted
27654,"Camp Fear",1991,0.3774,photo,mid,painted
27720,"Mister Frost",1990,0.0657,photo,photo_hi,painted
27758,"Near Death",2004,0.1312,photo,photo_hi,composite
27916,"Redneck Zombies",1989,0.4582,photo,mid,photo
28082,"Witchcraft 8: Salem's Ghost",1996,0.4332,photo,mid,photo
28165,"The Toxic Avenger Part II",1989,0.8566,painted,painted_hi,painted
28338,"Evil Spawn",1987,0.5307,painted,mid,painted
28351,"Blonde Heaven",1995,0.5489,painted,mid,composite
28450,"The Rift",1990,0.7904,painted,painted_hi,painted
28533,"The Ghost",1963,0.4712,photo,mid,painted
28790,"Arcade",1993,0.5481,painted,mid,painted
29062,"Day the World Ended",1955,0.7143,painted,painted_hi,painted
29067,"Die, Monster, Die!",1965,0.4871,photo,mid,painted
29070,"Blood Bath",1966,0.454,photo,mid,painted
29103,"The Sadist",1963,0.1662,photo,photo_hi,painted
29166,"Deadly Inheritance",1968,0.4859,photo,mid,painted
29412,"The Phantom from 10,000 Leagues",1955,0.6017,painted,mid,painted
29430,"Little Big Boy",2010,0.4133,photo,mid,composite
30638,"Alias John Preston",1955,0.5105,painted,mid,painted
30754,"Nightmare in Blood",1978,0.3519,photo,mid,painted
30934,"Tower of Evil",1972,0.7203,painted,painted_hi,painted
31275,"The Creeping Terror",1964,0.0644,photo,photo_hi,painted
31634,"The Amazing Transparent Man",1960,0.3616,photo,mid,painted
31646,"Piranha II: The Spawning",1982,0.8402,painted,painted_hi,painted
32623,"Night of the Ghouls",1959,0.3902,photo,mid,composite
32998,"Necronomicon",1993,0.4999,photo,mid,painted
34337,"Deadly Encounter",1982,0.713,painted,painted_hi,painted
34593,"Monster on the Campus",1958,0.3715,photo,mid,painted
35721,"Live Feed",2006,0.4624,photo,mid,photo
36489,"Bride of the Monster",1955,0.4081,photo,mid,painted
36754,"The Snorkel",1958,0.4328,photo,mid,painted
37977,"The Black Cat",1989,0.1412,photo,photo_hi,painted
38120,"Zombies of Mora Tau",1957,0.3658,photo,mid,composite
38783,"Trilogy of Terror",1975,0.5513,painted,mid,painted
38939,"Tales from the Crypt",1972,0.4083,photo,mid,painted
