id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
136,Freaks,Freaks,en,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",,1932-01-01,/fX2Wxd0W9E7eVClUd8kJTfennoV.jpg,23.541,1183,7.787,0,0,0,,False,/8ux67xfdkmTsz9SgEKATJTjQlD6.jpg,,,
138,Dracula,Dracula,en,"British estate agent Renfield travels to Transylvania to meet the mysterious Count Dracula, who is interested in leasing a castle in London. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together and Dracula, a secret vampire, begins preying on London socialites.",,1931-02-12,/ueVSPt7vAba0XScHWTDWS5tNxYX.jpg,25.698,1210,7.2,0,0,0,,False,/cemjdP7HrUyJAry85vRT19Hidbi.jpg,,,
229,Bride of Frankenstein,Bride of Frankenstein,en,"Dr. Frankenstein and his monster both turn out to be alive, not killed as previously believed. Dr. Frankenstein wants to get out of the evil experiment business, but when a mad scientist, Dr. Pretorius, kidnaps his wife, Dr. Frankenstein agrees to help him create a new creature.",,1935-04-20,/5241zUwe7rC17MNc2QpCBKKdp1N.jpg,25.296,970,7.5,0,0,0,,False,/hrED8MSOn4xJP9Cpk7WomUcFKGI.jpg,,,
234,Das Cabinet des Dr. Caligari,The Cabinet of Dr. Caligari,de,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep.",,1920-02-27,/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg,25.025,1588,7.9,0,0,0,,False,/mk2m1sOMEFeaS1iCwcEksqoVLYW.jpg,,,
244,King Kong,King Kong,en,"Adventurous filmmaker Carl Denham sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to be displayed on Broadway as King Kong, the eighth wonder of the world.",,1933-03-15,/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg,25.571,1468,7.604,0,0,0,,False,/lYfHa1AtkUMtplrKx7SRLHpwonW.jpg,,,
653,"Nosferatu, eine Symphonie des Grauens",Nosferatu,de,"The mysterious Count Orlok summons Thomas Hutter to his remote Transylvanian castle in the mountains. The eerie Orlok seeks to buy a house near Hutter and his wife, Ellen. After Orlok reveals his vampire nature, Hutter struggles to escape the castle, knowing that Ellen is in grave danger. Meanwhile Orlok's servant, Knock, prepares for his master to arrive at his new home.",,1922-02-16,/zv7J85D8CC9qYagAEhPM63CIG6j.jpg,113.354,2047,7.682,0,0,0,,False,/u06SympEEMb7pLhR9W3tvydHT9L.jpg,,,
779,Vampyr - Der Traum des Allan Grey,Vampyr,de,A student of the occult encounters supernatural haunts and local evildoers in a village outside of Paris.,,1932-05-06,/yt3JS5JSoZseSohYkhs6FLU9B0O.jpg,8.241,525,7.273,0,0,0,,False,/rg3hBiQbDet8uNQkgfbpk7306p8.jpg,,,
964,The Phantom of the Opera,The Phantom of the Opera,en,The deformed Phantom who haunts the Paris Opera House causes murder and mayhem in an attempt to make the woman he loves a star.,,1925-09-22,/mvaYpAYj957C2tlq3vVJPSzGJXK.jpg,12.966,343,7.1,0,0,0,,False,/6FSs7jMimg1PBYdhZtPNQhtKtEc.jpg,,,
1994,The Most Dangerous Game,The Most Dangerous Game,en,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",,1932-09-16,/3aNlOIFlGOnIzxqvAWpgm5Sly1H.jpg,12.167,272,6.932,0,0,0,,False,/pZ1WOijS37SC09Gg5kKIzQla1YJ.jpg,,,
2969,Alraune,A Daughter Of Destiny,de,"Hanns Heinz Ewers' grim science-fiction novel Alraune has already been filmed twice when this version was assembled in 1928. In another of his ""mad doctor"" roles, Paul Wegener plays Professor Brinken, sociopathic scientist who combines the genes of an executed murderer with those of a prostitute. The result is a beautiful young woman named Alraune (Brigitte Helm), who is incapable of feeling any real emotions -- least of all guilt or regret. Upon attaining adulthood, Alraune sets about to seduce and destroy every male who crosses her path. Ultimately, Professor Brinken is hoist on his own petard when he falls hopelessly in love with Alraune himself. Alraune was remade in 1930, with Brigitte Helm repeating her role, and again in 1951, with Hildegarde Knef as the ""heroine"" and Erich von Stroheim as her misguided mentor.",,1928-01-25,/iiyGr1iO8DEDEOlFKCImUSnqYR6.jpg,1.128,20,6.4,0,0,0,,False,/omnBIH5hlh9a927Zyfwye8ELpmP.jpg,,,
2970,Alraune,Alraune,de,"A scientist, Professor Jakob ten Brinken, interested in the laws of heredity, impregnates a prostitute in a laboratory with the semen of a hanged murderer. The prostitute conceives a female child who has no concept of love, whom the professor adopts. The girl, Alraune, suffers from obsessive sexuality and perverse relationships throughout her life. She learns of her unnatural origins and she avenges herself against the professor.",,1930-03-02,/lHTglu6doHISI6aRAAy2pN8nlmo.jpg,1.191,6,4.9,0,0,0,,False,,,,
2972,"Der Golem, wie er in die Welt kam",The Golem: How He Came Into the World,de,"In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",,1920-10-28,/6fPxDfQii5xD9XPsH1SAZxbkSkx.jpg,11.248,207,7.0,0,0,0,,False,/iRDOMmPvAiJIM2azjbdLniRkBsd.jpg,,,
2974,Orlacs Hände,The Hands of Orlac,de,"A world-famous pianist loses both hands in an accident. When new hands are grafted on, he is horrified to learn they once belonged to a murderer.",,1924-09-24,/40WWy1SSx8rh1r4mn1MNpCKIteF.jpg,8.103,93,6.9,0,0,0,,False,/35Bh31PwHD1c4QoF5Otn1Tpm7I9.jpg,,,
