brightness,dark_share,saturation,red_share,palette,palette_share,id,title,year
28.03,0.5086,0.505,0.2316,"[""#211217"", ""#782324"", ""#474b66"", ""#e5d263"", ""#b78860""]","[0.477, 0.216, 0.114, 0.1, 0.093]",8851,The Blob,1958
41.5,0.2628,0.1068,0.0,"[""#2c2c2c"", ""#626362"", ""#969495"", ""#fb6fb6"", ""#dc92b7""]","[0.318, 0.238, 0.214, 0.165, 0.064]",70224,Curse of the Oily Man,1956
51.45,0.1644,0.3493,0.2308,"[""#373736"", ""#d13925"", ""#de9674"", ""#7a4034"", ""#f6eee7""]","[0.312, 0.207, 0.202, 0.178, 0.1]",11071,Them!,1954
37.32,0.4437,0.4289,0.2996,"[""#1b1312"", ""#642a26"", ""#bf2f35"", ""#e2cbd0"", ""#cbca2a""]","[0.402, 0.204, 0.189, 0.124, 0.08]",43312,The She-Creature,1956
42.18,0.3239,0.3876,0.0193,"[""#2b252d"", ""#f04d12"", ""#676f3f"", ""#ca956e"", ""#b6b5af""]","[0.402, 0.191, 0.172, 0.128, 0.106]",91733,My World Dies Screaming,1958
62.3,0.1646,0.5445,0.1189,"[""#fbf64e"", ""#2b1913"", ""#af9548"", ""#b32916"", ""#b6a596""]","[0.42, 0.228, 0.138, 0.128, 0.086]",45674,Frankenstein's Daughter,1958
53.48,0.0165,0.3214,0.091,"[""#424a4d"", ""#ddbc8c"", ""#a28164"", ""#8aa4ad"", ""#c95246""]","[0.318, 0.214, 0.193, 0.15, 0.125]",299449,White Snake Woman,1958
51.25,0.1116,0.6331,0.0553,"[""#13519c"", ""#bc702c"", ""#45352b"", ""#edd415"", ""#e4cd9a""]","[0.29, 0.23, 0.213, 0.156, 0.111]",194393,The Disembodied,1957
46.63,0.3686,0.5144,0.2102,"[""#221113"", ""#7f5537"", ""#e7ddd3"", ""#d0bc32"", ""#e3401e""]","[0.51, 0.176, 0.111, 0.104, 0.098]",56767,The Colossus of New York,1958
46.37,0.1719,0.364,0.0027,"[""#d6c434"", ""#232227"", ""#40586d"", ""#6a6b59"", ""#ada976""]","[0.249, 0.223, 0.186, 0.178, 0.164]",47001,The Thing That Couldn't Die,1958
40.82,0.3298,0.5419,0.2072,"[""#1e2c32"", ""#963e25"", ""#ea1715"", ""#a8abb6"", ""#b99439""]","[0.434, 0.215, 0.141, 0.12, 0.09]",123793,The Vampire's Coffin,1958
33.28,0.4361,0.0012,0.0,"[""#131313"", ""#393939"", ""#9d9d9d"", ""#656565"", ""#d8d8d8""]","[0.377, 0.248, 0.128, 0.124, 0.123]",84508,The Ghost of Yotsuya,1959
55.31,0.1638,0.6989,0.0818,"[""#f5d22c"", ""#5d9daf"", ""#1d2231"", ""#c63c12"", ""#537c1d""]","[0.295, 0.25, 0.22, 0.155, 0.081]",53949,The Monster That Challenged the World,1957
36.39,0.4476,0.4502,0.1662,"[""#110c07"", ""#39491d"", ""#e7220b"", ""#d9d4b0"", ""#741e12""]","[0.354, 0.199, 0.177, 0.158, 0.112]",36489,Bride of the Monster,1955
38.81,0.1714,0.4102,0.1225,"[""#3c477b"", ""#3a2f2d"", ""#914432"", ""#baab50"", ""#8d8363""]","[0.398, 0.194, 0.147, 0.14, 0.121]",23293,Phantom from Space,1953
