id,year,title,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,rek_mod,rek_violence,rek_mod_weapons,rek_gore,rek_n_faces,rek_emotion,rek_gender,rek_age_lo,rek_age_hi
2667,1999,The Blair Witch Project,Cap:1.00|Hat:1.00|Book:1.00|Publication:1.00|Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Baby:0.90,Cap,1.0,0.0,0.0,0.9978,0.0,0.0,0.5377,3,1.97,78.24,89.88,#000000:64.3|#a9a9a9:12.0|#696969:9.3|#2f4f4f:9.1|#dcdcdc:4.3,,0.0,0.0,0.0,1,FEAR:0.99,Female,23,29
9552,1973,The Exorcist,Lighting:1.00|Silhouette:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Handbag:0.99|City:0.98|Walking:0.95|Book:0.94,Lighting,1.0,0.0,0.0,0.9929,0.0,0.0,0.9988,7,0.99,80.49,90.05,#000000:78.8|#c0c0c0:10.8|#2f4f4f:5.5|#808080:4.9,,0.0,0.0,0.0,0,,,-1,-1
348,1979,Alien,Nature:1.00|Night:1.00|Outdoors:1.00|Sphere:1.00|Lighting:1.00|Green:0.98|Tennis Ball:0.95|Light:0.95|Alien:0.91|Astronomy:0.90,Nature,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,76.23,77.44,#000000:90.9|#2f4f4f:3.6|#556b2f:3.2|#c0c0c0:1.3|#5f9ea0:1.0,,0.0,0.0,0.0,0,,,-1,-1
948,1978,Halloween,Electronics:0.92|Hardware:0.92|Blade:0.85|Dagger:0.85|Knife:0.85|Weapon:0.85|Advertisement:0.80|Animal:0.73|Shark:0.73|Book:0.64,Electronics,0.9183,0.8483,0.7304,0.0,0.0,0.0,0.0,1,0.0,81.19,90.39,#000000:73.6|#ffebcd:8.2|#800000:7.5|#a0522d:6.2|#cd853f:2.6,Weapons:0.57|Violence:0.57,0.5723,0.5723,0.0,0,,,-1,-1
694,1980,The Shining,Logo:1.00|Advertisement:0.99|Poster:0.96|Adult:0.92|Male:0.92|Man:0.92|Person:0.92|Sticker:0.54|Stencil:0.54|Badge:0.53,Logo,0.9998,0.0,0.0,0.9207,0.0,0.0,0.5301,4,94.39,76.76,83.82,#ffd700:83.4|#000000:7.8|#daa520:2.4|#808000:2.3|#556b2f:2.1,,0.0,0.0,0.0,0,,,-1,-1
4232,1996,Scream,Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Adult:0.99|Female:0.99|Woman:0.99|Advertisement:0.99|Poster:0.97,Face,0.9997,0.0,0.0,0.9997,0.0,0.0,0.0,12,0.0,80.2,95.62,#000000:71.3|#dcdcdc:12.3|#808080:4.8|#696969:4.4|#2f4f4f:4.3,,0.0,0.0,0.0,6,FEAR:1.00,Female,23,29
578,1975,Jaws,Animal:0.95|Fish:0.95|Sea Life:0.95|Shark:0.95|Person:0.89|Great White Shark:0.56|Water:0.56|Leisure Activities:0.54|Sport:0.54|Swimming:0.54,Animal,0.9547,0.0,0.9547,0.8938,0.5579,0.0,0.0,2,76.31,75.12,89.65,#4682b4:48.4|#ffffff:25.2|#2f4f4f:9.0|#dc143c:6.5|#87ceeb:4.5,,0.0,0.0,0.0,0,,,-1,-1
1091,1982,The Thing,Advertisement:1.00|Poster:1.00|Glove:0.99|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Book:0.94|Publication:0.94|Comics:0.57,Advertisement,0.9995,0.5449,0.0,0.9866,0.0,0.0,0.0,10,79.84,80.65,91.14,#4682b4:37.9|#e6e6fa:23.6|#000000:12.3|#87ceeb:11.0|#ffffff:5.9,,0.0,0.0,0.0,0,,,-1,-1
10885,2008,Shutter,Art:1.00|Painting:1.00|Book:0.99|Publication:0.99|Person:0.92|Fireplace:0.69|Indoors:0.69|Dungeon:0.56|Crypt:0.54|Novel:0.54,Art,0.9988,0.0,0.0,0.92,0.0,0.0,0.0,8,26.85,75.82,83.05,#000000:67.1|#800000:12.2|#696969:7.0|#a9a9a9:5.4|#2f4f4f:4.1,,0.0,0.0,0.0,0,,,-1,-1
82990,2012,Paranormal Activity 4,Furniture:0.98|Bed:0.96|Bedroom:0.96|Indoors:0.96|Baby:0.94|Person:0.94|Face:0.93|Head:0.93|Photography:0.93|Portrait:0.93,Furniture,0.9764,0.0,0.0,0.9406,0.0,0.0,0.0,4,0.7,35.24,76.44,#000000:63.1|#191970:17.1|#483d8b:12.7|#778899:5.9|#800000:1.2,,0.0,0.0,0.0,1,CALM:0.48,Female,19,23
861057,2021,Swim,Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Animal:0.96|Fish:0.96|Sea Life:0.96|Shark:0.96|Male:0.90|Man:0.90,Adult,0.9914,0.0,0.9574,0.9914,0.53,0.0,0.0,14,71.87,76.82,90.62,#2f4f4f:25.0|#000000:17.9|#708090:16.7|#a9a9a9:14.1|#b0c4de:11.4,,0.0,0.0,0.0,0,,,-1,-1
12700,2005,Dominion: Prequel to The Exorcist,Book:1.00|Publication:1.00|Novel:0.93|Adult:0.90|Female:0.90|Person:0.90|Woman:0.90|Prayer:0.56|Silhouette:0.55|Accessories:0.54,Book,1.0,0.0,0.0,0.9012,0.0,0.0,0.5537,4,0.61,75.12,78.81,#000000:83.4|#b22222:6.2|#800000:4.9|#f4a460:3.6|#696969:0.9,,0.0,0.0,0.0,0,,,-1,-1
29426,2010,Survival of the Dead,Book:1.00|Publication:1.00|Comics:0.99|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Advertisement:0.91|Baby:0.87|Poster:0.84,Book,1.0,0.0,0.5365,0.9925,0.0,0.0,0.0,12,41.43,86.44,92.43,#000000:47.8|#2f4f4f:19.9|#c0c0c0:16.2|#5f9ea0:9.5|#800000:3.4,Blood & Gore:0.92|Graphic Violence:0.92|Violence:0.92,0.9178,0.0,0.9178,1,SAD:0.61,Female,30,38
