id,axis,title,year,register
1091,0.01620999,The Thing,1982,decorative
756681,0.02438502,Veneciafrenia,2022,ornate
10885,0.015738755,Shutter,2008,decorative
82990,0.0007696897,Paranormal Activity 4,2012,clean
861057,0.010852605,Swim,2021,standard
12700,-0.0035737306,Dominion: Prequel to The Exorcist,2005,clean
855433,0.01719445,Escape Room: La Película,2022,decorative
29426,0.006491199,Survival of the Dead,2010,standard
19286,0.022250146,Leprechaun 3,1995,decorative
611651,0.029247731,Sator,2019,ornate
864370,0.027063593,Incantation,2022,ornate
532638,0.0036936402,Open 24 Hours,2018,clean
9902,0.0061571,Wrong Turn,2003,standard
605804,0.0087721795,The Wretched,2020,standard
58431,0.011499256,Pride and Prejudice and Zombies,2016,standard
6404,0.04574406,Nosferatu the Vampyre,1979,ornate
9725,-0.018252775,Friday the 13th Part 2,1981,minimal
714277,-0.0029819757,The Funeral Home,2021,clean
610253,0.0073889345,Halloween Kills,2021,standard
532973,0.0007670522,Hell House LLC II: The Abaddon Hotel,2018,clean
532710,0.002242595,Firestarter,2022,clean
739990,0.016507834,Nightbooks,2021,decorative
226948,0.0035192072,Scarecrow,2013,clean
42941,0.0037242174,30 Days of Night: Dark Days,2010,clean
71668,0.016131178,Piranha 3DD,2012,decorative
284995,0.03385499,Scooby-Doo! Frankencreepy,2014,ornate
764,0.011576116,The Evil Dead,1981,standard
732713,-0.01295796,Evil Eye,2020,minimal
871832,0.009489119,Visitor,2021,standard
320048,-0.01703471,Ratter,2015,minimal
730167,0.008236408,The Reef: Stalked,2022,standard
28355,0.0018942952,Case 39,2009,clean
47044,0.016046032,The Secret Life: Jeffrey Dahmer,1993,decorative
473149,-0.005673021,Traffik,2018,minimal
1923,0.00957115,Twin Peaks: Fire Walk with Me,1992,standard
525460,-0.0059063733,Welcome Home,2018,minimal
5336,-0.022786796,"Salò, or the 120 Days of Sodom",1976,minimal
22970,0.012295306,The Cabin in the Woods,2012,standard
668343,0.01485014,Alien Outbreak,2020,decorative
945657,0.021008909,Titanic 666,2022,decorative
790,-0.011690095,The Fog,1980,minimal
480414,-0.0019413829,The Curse of La Llorona,2019,clean
571627,-0.0034497827,The Divine Fury,2019,clean
431259,0.02403672,Escape Room,2017,decorative
837,-0.01324521,Videodrome,1983,minimal
807356,-0.016283616,Watcher,2022,minimal
793967,-0.015344381,Phobias,2021,minimal
